,image_id,scores,luminance
0,35478.png,9.632185935974121,8.038604736328125
1,33277.png,12.797675132751465,62.76963424682617
2,03066.png,12.839362144470215,45.575801849365234
3,07742.png,12.938197135925293,81.4566535949707
4,05766.png,14.939654350280762,60.564476013183594
5,37824.png,15.337752342224121,90.72034072875977
6,30238.png,15.634310722351074,82.311279296875
7,68340.png,18.639389038085938,86.44532680511475
8,34589.png,22.003517150878906,71.04018783569336
9,01994.png,23.36844253540039,27.119229316711426
10,58742.png,23.811519622802734,84.58196830749512
11,46437.png,25.113021850585938,26.069059371948242
12,42949.png,27.550724029541016,76.02864456176758
13,65124.png,29.406347274780273,32.13789463043213
14,07951.png,29.900089263916016,37.69692325592041
15,46388.png,30.518802642822266,59.24718189239502
16,64227.png,31.412086486816406,64.16015434265137
17,11999.png,31.9805908203125,79.00913047790527
18,40224.png,32.85530471801758,87.28051567077637
19,49534.png,33.503719329833984,53.962764739990234
20,63533.png,33.76112365722656,112.2895975112915
21,38315.png,34.409603118896484,15.059964179992676
22,30253.png,35.204254150390625,77.57325172424316
23,56322.png,36.61000442504883,131.53597450256348
24,09195.png,36.72182846069336,56.134403228759766
25,05304.png,37.44145584106445,22.548494338989258
26,48202.png,37.5886344909668,56.86982345581055
27,26960.png,37.63349533081055,7.202190399169922
28,43161.png,38.01709747314453,69.63830280303955
29,16651.png,38.048709869384766,87.94409847259521
30,31127.png,39.50490188598633,4.557340621948242
31,30009.png,39.546302795410156,68.09850978851318
32,34252.png,39.58736801147461,60.261595726013184
33,04792.png,39.69777297973633,93.73454666137695
34,38303.png,39.93913650512695,50.56118869781494
35,69655.png,39.95512390136719,51.23845863342285
36,01338.png,39.956905364990234,22.68681526184082
37,25035.png,40.09939956665039,24.864171028137207
38,39440.png,40.22834777832031,36.19937610626221
39,40374.png,40.286685943603516,14.823711395263672
40,10246.png,40.84879684448242,47.985116958618164
41,10576.png,40.85043716430664,47.37898063659668
42,46797.png,40.89238357543945,35.758344650268555
43,29034.png,40.91972732543945,39.75179100036621
44,41392.png,41.12458801269531,39.024789810180664
45,07875.png,41.15431594848633,30.806819915771484
46,63600.png,41.421077728271484,32.03629779815674
47,54001.png,41.70393371582031,85.31188201904297
48,50151.png,41.86440658569336,54.67436599731445
49,53222.png,42.803245544433594,44.36664962768555
50,69199.png,44.27056884765625,75.45609855651855
51,37928.png,44.31464767456055,51.06944561004639
52,00540.png,44.56998062133789,58.26893997192383
53,37590.png,44.93988800048828,78.25172328948975
54,39502.png,45.35062026977539,54.28403282165527
55,63725.png,45.51237869262695,131.0092315673828
56,62974.png,45.575294494628906,74.11259841918945
57,28994.png,45.77456283569336,105.95789527893066
58,24430.png,46.02557373046875,48.81887340545654
59,05395.png,46.315242767333984,53.06344032287598
60,46945.png,46.8713264465332,36.71709728240967
61,62914.png,46.9395637512207,68.7755765914917
62,35248.png,47.02567672729492,75.93806648254395
63,44238.png,47.26591873168945,40.13613796234131
64,23362.png,47.40226745605469,62.48432540893555
65,61806.png,47.41427993774414,141.07037258148193
66,00046.png,47.93862533569336,52.99724102020264
67,49962.png,48.205963134765625,55.89179039001465
68,22488.png,48.62419128417969,124.08520603179932
69,48798.png,48.6534309387207,101.39849662780762
70,29449.png,49.37946319580078,66.82210922241211
71,17997.png,49.54910659790039,51.98449420928955
72,04289.png,49.57943344116211,68.61320877075195
73,03807.png,49.99409866333008,74.0193510055542
74,02312.png,50.1272087097168,77.76797294616699
75,12651.png,51.08699417114258,99.95710754394531
76,48497.png,51.087860107421875,89.84685516357422
77,57395.png,51.299068450927734,55.33280372619629
78,21341.png,51.35926818847656,88.91539287567139
79,45574.png,51.36430740356445,81.01541900634766
80,36454.png,51.59246063232422,51.9878568649292
81,30146.png,51.737796783447266,55.90058135986328
82,25762.png,51.806941986083984,126.98496341705322
83,17352.png,51.954193115234375,76.06339645385742
84,02332.png,52.21379089355469,44.121477127075195
85,17334.png,52.30356979370117,86.14729881286621
86,04866.png,52.4494514465332,63.01019763946533
87,12819.png,52.53509521484375,36.09124946594238
88,33180.png,52.91863250732422,81.29468441009521
89,69431.png,53.12474822998047,30.29354763031006
90,22137.png,53.1366081237793,114.02606010437012
91,03421.png,53.31471633911133,55.03379154205322
92,55911.png,53.34880065917969,35.50351142883301
93,31582.png,53.45806884765625,69.67874240875244
94,53298.png,53.51427459716797,60.085097312927246
95,01304.png,53.566104888916016,61.98405456542969
96,03064.png,53.58329772949219,26.730676651000977
97,34464.png,53.61320114135742,53.81626605987549
98,56809.png,53.64020919799805,48.7558479309082
99,64097.png,53.6833610534668,78.90308570861816
100,16463.png,53.95512771606445,79.03575325012207
101,47859.png,54.3297233581543,65.6525011062622
102,69533.png,54.33574295043945,63.3727445602417
103,28926.png,54.67235565185547,68.65389442443848
104,61001.png,55.01007843017578,64.03908348083496
105,51890.png,55.19059371948242,25.506279945373535
106,67181.png,55.22487258911133,62.56302547454834
107,03928.png,55.45466613769531,53.89048767089844
108,56478.png,55.465301513671875,80.12675380706787
109,53100.png,55.66325378417969,100.67042636871338
110,39148.png,55.6795654296875,11.795625686645508
111,51856.png,55.781494140625,39.13717174530029
112,48757.png,55.874568939208984,28.003339767456055
113,22003.png,56.05519485473633,27.87368392944336
114,37708.png,56.32704162597656,33.44799613952637
115,54818.png,56.5769157409668,46.66618537902832
116,09845.png,56.628135681152344,86.9460334777832
117,34656.png,56.89810562133789,72.42953205108643
118,38408.png,57.19231414794922,46.11983680725098
119,05486.png,57.403053283691406,79.30112552642822
120,44425.png,57.52347183227539,85.88808822631836
121,32261.png,57.60757827758789,102.01463794708252
122,09530.png,57.72088623046875,85.80356884002686
123,06115.png,57.98691940307617,115.87839794158936
124,55500.png,58.11604690551758,72.91952133178711
125,14841.png,58.18400955200195,40.378811836242676
126,20618.png,58.33158493041992,59.706461906433105
127,23927.png,58.33199691772461,43.220298767089844
128,62534.png,58.33442306518555,104.18957805633545
129,61172.png,58.67311477661133,92.99913883209229
